Ticker,Company,Sector,Industry,Country,Market Cap,ATR,Prev Close,Open,High,Low
APHA,Aphria Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,4.09B,0.84,12.92,,,
API,"Agora, Inc.",Technology,Software - Application,China,4.84B,3.23,46.38,,,
APLS,"Apellis Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,3.54B,2.89,45.68,,,
APLT,"Applied Therapeutics, Inc.",Healthcare,Biotechnology,USA,441.56M,1.58,19.73,,,
APM,Aptorum Group Limited,Healthcare,Biotechnology,United Kingdom,105.37M,0.32,3.6,,,
APOG,"Apogee Enterprises, Inc.",Industrials,Building Products & Equipment,USA,1.00B,1.36,37.88,,,
APOP,Cellect Biotechnology Ltd.,Healthcare,Biotechnology,Israel,12.39M,0.21,3.17,,,
APPF,"AppFolio, Inc.",Technology,Software - Application,USA,5.42B,6.47,157,,,
APPN,Appian Corporation,Technology,Software - Infrastructure,USA,14.72B,12.21,204.85,,,
APPS,"Digital Turbine, Inc.",Technology,Software - Application,USA,6.45B,4.44,67.93,,,
APRE,"Aprea Therapeutics, Inc.",Healthcare,Biotechnology,USA,122.42M,1.33,5.71,,,
APTO,Aptose Biosciences Inc.,Healthcare,Biotechnology,Canada,389.00M,0.24,4.39,,,
APTX,Aptinyx Inc.,Healthcare,Biotechnology,USA,234.00M,0.27,4,,,
APVO,Aptevo Therapeutics Inc.,Healthcare,Biotechnology,USA,144.60M,2.29,33.55,,,
APWC,Asia Pacific Wire & Cable Corporation Limited,Industrials,Electrical Equipment & Parts,Taiwan,77.12M,0.84,5.58,,,
APXT,Apex Technology Acquisition Corporation,Financial,Shell Companies,USA,711.53M,0.81,15.59,,,
APYX,Apyx Medical Corporation,Healthcare,Medical Devices,USA,351.04M,0.59,10.97,,,
AQB,"AquaBounty Technologies, Inc.",Consumer Defensive,Farm Products,USA,684.97M,1.11,12.07,,,
AQMS,"Aqua Metals, Inc.",Industrials,Waste Management,USA,296.93M,0.51,4.79,,,
AQST,"Aquestive Therapeutics, Inc.",Healthcare,Biotechnology,USA,197.43M,0.45,5.67,,,
ARAV,"Aravive, Inc.",Healthcare,Biotechnology,USA,90.94M,0.38,5.8,,,
ARAY,Accuray Incorporated,Healthcare,Medical Devices,USA,487.95M,0.3,5.11,,,
ARBGU,Aequi Acquisition Corp.,Financial,Shell Companies,USA,-,0.19,10.65,,,
ARCB,ArcBest Corporation,Industrials,Trucking,USA,1.24B,1.61,48.44,,,
ARCC,Ares Capital Corporation,Financial,Asset Management,USA,7.40B,0.29,17.5,,,
ARCE,Arco Platform Limited,Consumer Defensive,Education & Training Services,Brazil,2.05B,1.81,35.95,,,
ARCT,Arcturus Therapeutics Holdings Inc.,Healthcare,Biotechnology,USA,1.85B,9.88,67.7,,,
ARDS,"Aridis Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,68.21M,0.4,6.89,,,
ARDX,"Ardelyx, Inc.",Healthcare,Biotechnology,USA,662.07M,0.32,7.22,,,
AREC,American Resources Corporation,Energy,Thermal Coal,USA,105.67M,0.27,2.78,,,
ARGX,argenx SE,Healthcare,Biotechnology,Netherlands,14.65B,10.46,310.98,,,
ARKO,Arko Corp.,Consumer Cyclical,Department Stores,USA,1.03B,0.42,8.13,,,
ARKR,Ark Restaurants Corp.,Consumer Cyclical,Restaurants,USA,68.57M,1.61,19.99,,,
ARLP,"Alliance Resource Partners, L.P.",Energy,Thermal Coal,USA,685.71M,0.28,5.23,,,
ARNA,"Arena Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,4.52B,2.9,77.68,,,
AROW,Arrow Financial Corporation,Financial,Banks - Regional,USA,491.25M,0.87,31.35,,,
ARPO,"Aerpio Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,60.86M,0.1,1.27,,,
ARQT,"Arcutis Biotherapeutics, Inc.",Healthcare,Biotechnology,USA,1.16B,1.85,26.81,,,
ARRY,"Array Technologies, Inc.",Technology,Solar,USA,6.84B,2.92,51.05,,,
ARTL,"Artelo Biosciences, Inc.",Healthcare,Biotechnology,USA,17.98M,0.11,1.14,,,
ARTNA,Artesian Resources Corporation,Utilities,Utilities - Regulated Water,USA,358.56M,0.87,38.39,,,
ARTW,"Art's-Way Manufacturing Co., Inc.",Industrials,Farm & Heavy Construction Machinery,USA,13.67M,0.16,3.03,,,
ARVN,"Arvinas, Inc.",Healthcare,Biotechnology,USA,3.87B,6.48,84.09,,,
ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,8.65B,3.65,82.07,,,
ARYA,ARYA Sciences Acquisition Corp III,Financial,Shell Companies,USA,177.66M,0.34,11.5,,,
ASET,FlexShares Real Assets Allocation Index Fund,Financial,Exchange Traded Fund,USA,-,0.22,30.24,,,
ASLE,AerSale Corporation,Industrials,Airports & Air Services,USA,612.90M,1.35,15,,,
ASLN,ASLAN Pharmaceuticals Limited,Healthcare,Biotechnology,Singapore,68.83M,0.11,2.17,,,
ASMB,"Assembly Biosciences, Inc.",Healthcare,Biotechnology,USA,197.04M,0.23,5.88,,,
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,Netherlands,246.29B,13.54,569.45,,,
ASND,Ascendis Pharma A/S,Healthcare,Biotechnology,Denmark,8.80B,6.84,160.66,,,
ASO,"Academy Sports and Outdoors, Inc.",Consumer Cyclical,Specialty Retail,USA,2.06B,1.22,22.46,,,
ASPS,Altisource Portfolio Solutions S.A.,Financial,Mortgage Finance,Luxembourg,176.26M,0.64,11.17,,,
ASPU,"Aspen Group, Inc.",Consumer Defensive,Education & Training Services,USA,245.97M,0.53,9.91,,,
ASRT,"Assertio Holdings, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,81.79M,0.07,0.71,,,
ASRV,"AmeriServ Financial, Inc.",Financial,Banks - Regional,USA,57.45M,0.13,3.58,,,
ASTC,Astrotech Corporation,Industrials,Aerospace & Defense,USA,50.62M,0.19,2.43,,,
ASTE,"Astec Industries, Inc.",Industrials,Farm & Heavy Construction Machinery,USA,1.52B,2.06,66.99,,,
ASUR,"Asure Software, Inc.",Technology,Software - Application,USA,156.26M,0.3,8.25,,,
ASYS,"Amtech Systems, Inc.",Technology,Semiconductor Equipment & Materials,USA,108.06M,0.32,7.61,,,
ATAX,"America First Multifamily Investors, L.P.",Financial,Mortgage Finance,USA,267.02M,0.14,4.44,,,
ATCX,"Atlas Technical Consultants, Inc.",Industrials,Engineering & Construction,USA,345.51M,0.56,9.81,,,
ATEC,"Alphatec Holdings, Inc.",Healthcare,Medical Devices,USA,1.19B,0.74,14.81,,,
ATEX,Anterix Inc.,Communication Services,Telecom Services,USA,704.34M,2.64,40.34,,,
